,date,state,fips,cases,deaths
6817,2020-07-04,Oklahoma,40,15645,398
6818,2020-07-04,Oregon,41,9937,216
6819,2020-07-04,Pennsylvania,42,93922,6793
6820,2020-07-04,Puerto Rico,72,7787,155
6821,2020-07-04,Rhode Island,44,16991,960
6822,2020-07-04,South Carolina,45,43386,813
6823,2020-07-04,South Dakota,46,7028,97
6824,2020-07-04,Tennessee,47,49232,630
6825,2020-07-04,Texas,48,195707,2646
6826,2020-07-04,Utah,49,24717,181
6827,2020-07-04,Vermont,50,1238,56
6828,2020-07-04,Virgin Islands,78,112,6
6829,2020-07-04,Virginia,51,65027,1848
6830,2020-07-04,Washington,53,36799,1355
6831,2020-07-04,West Virginia,54,3205,94
6832,2020-07-04,Wisconsin,55,34243,804
6833,2020-07-04,Wyoming,56,1606,20
6834,2020-07-05,Alabama,1,43953,1007
6835,2020-07-05,Alaska,2,1371,14
6836,2020-07-05,Arizona,4,98126,1829
6837,2020-07-05,Arkansas,5,23814,287
6838,2020-07-05,California,6,271587,6369
6839,2020-07-05,Colorado,8,34100,1703
6840,2020-07-05,Connecticut,9,46717,4335
6841,2020-07-05,Delaware,10,12128,512
6842,2020-07-05,District of Columbia,11,10482,559
6843,2020-07-05,Florida,12,200103,3730
6844,2020-07-05,Georgia,13,89489,2812
6845,2020-07-05,Guam,66,1257,6
6846,2020-07-05,Hawaii,15,1005,19
6847,2020-07-05,Idaho,16,7799,94
6848,2020-07-05,Illinois,17,148730,7241
6849,2020-07-05,Indiana,18,49203,2693
6850,2020-07-05,Iowa,19,31612,721
6851,2020-07-05,Kansas,20,16289,287
6852,2020-07-05,Kentucky,21,16712,608
6853,2020-07-05,Louisiana,22,65334,3288
6854,2020-07-05,Maine,23,3415,109
6855,2020-07-05,Maryland,24,69957,3243
6856,2020-07-05,Massachusetts,25,109974,8183
6857,2020-07-05,Michigan,26,73027,6222
6858,2020-07-05,Minnesota,27,38173,1508
6859,2020-07-05,Mississippi,28,30900,1111
6860,2020-07-05,Missouri,29,24334,1062
6861,2020-07-05,Montana,30,1212,23
6862,2020-07-05,Nebraska,31,19937,285
6863,2020-07-05,Nevada,32,22518,537
6864,2020-07-05,New Hampshire,33,5897,381
6865,2020-07-05,New Jersey,34,175258,15211
6866,2020-07-05,New Mexico,35,13256,513
6867,2020-07-05,New York,36,401822,31895
6868,2020-07-05,North Carolina,37,73096,1414
6869,2020-07-05,North Dakota,38,3825,89
6870,2020-07-05,Northern Mariana Islands,69,31,2
6871,2020-07-05,Ohio,39,57151,2911
6872,2020-07-05,Oklahoma,40,15928,398
6873,2020-07-05,Oregon,41,10237,218
6874,2020-07-05,Pennsylvania,42,94403,6797
6875,2020-07-05,Puerto Rico,72,7916,155
6876,2020-07-05,Rhode Island,44,16991,960
6877,2020-07-05,South Carolina,45,44847,820
6878,2020-07-05,South Dakota,46,7063,97
6879,2020-07-05,Tennessee,47,50365,639
6880,2020-07-05,Texas,48,200137,2666
6881,2020-07-05,Utah,49,25005,184
6882,2020-07-05,Vermont,50,1249,56
6883,2020-07-05,Virgin Islands,78,112,6
6884,2020-07-05,Virginia,51,65662,1852
6885,2020-07-05,Washington,53,37468,1360
6886,2020-07-05,West Virginia,54,3335,95
6887,2020-07-05,Wisconsin,55,34750,804
6888,2020-07-05,Wyoming,56,1634,20
6889,2020-07-06,Alabama,1,44878,1007
6890,2020-07-06,Alaska,2,1401,14
6891,2020-07-06,Arizona,4,101542,1832
6892,2020-07-06,Arkansas,5,24253,292
6893,2020-07-06,California,6,277869,6452
6894,2020-07-06,Colorado,8,34316,1704
6895,2020-07-06,Connecticut,9,46976,4338
6896,2020-07-06,Delaware,10,12293,512
6897,2020-07-06,District of Columbia,11,10515,561
6898,2020-07-06,Florida,12,206439,3777
6899,2020-07-06,Georgia,13,91015,2829
6900,2020-07-06,Guam,66,1270,6
6901,2020-07-06,Hawaii,15,1012,19
6902,2020-07-06,Idaho,16,8222,94
6903,2020-07-06,Illinois,17,149428,7250
6904,2020-07-06,Indiana,18,49560,2698
6905,2020-07-06,Iowa,19,31764,725
6906,2020-07-06,Kansas,20,17082,288
6907,2020-07-06,Kentucky,21,17464,621
6908,2020-07-06,Louisiana,22,66435,3296
6909,2020-07-06,Maine,23,3423,109
6910,2020-07-06,Maryland,24,70497,3246
6911,2020-07-06,Massachusetts,25,110137,8198
6912,2020-07-06,Michigan,26,73403,6225
6913,2020-07-06,Minnesota,27,38606,1511
6914,2020-07-06,Mississippi,28,31257,1114
6915,2020-07-06,Missouri,29,24850,1068
6916,2020-07-06,Montana,30,1249,23
6917,2020-07-06,Nebraska,31,20052,286
6918,2020-07-06,Nevada,32,22930,537
6919,2020-07-06,New Hampshire,33,5914,382
6920,2020-07-06,New Jersey,34,175467,15229
6921,2020-07-06,New Mexico,35,13507,515
6922,2020-07-06,New York,36,402338,31911
6923,2020-07-06,North Carolina,37,74933,1424
6924,2020-07-06,North Dakota,38,3858,89
6925,2020-07-06,Northern Mariana Islands,69,31,2
6926,2020-07-06,Ohio,39,57956,2927
6927,2020-07-06,Oklahoma,40,16362,399
6928,2020-07-06,Oregon,41,10413,218
6929,2020-07-06,Pennsylvania,42,95187,6798
6930,2020-07-06,Puerto Rico,72,8585,155
6931,2020-07-06,Rhode Island,44,16991,960
6932,2020-07-06,South Carolina,45,46380,827
6933,2020-07-06,South Dakota,46,7105,97
6934,2020-07-06,Tennessee,47,51509,646
6935,2020-07-06,Texas,48,209350,2726
6936,2020-07-06,Utah,49,25653,190
6937,2020-07-06,Vermont,50,1251,56
6938,2020-07-06,Virgin Islands,78,116,6
6939,2020-07-06,Virginia,51,66015,1852
6940,2020-07-06,Washington,53,38517,1370
6941,2020-07-06,West Virginia,54,3442,95
6942,2020-07-06,Wisconsin,55,35318,805
6943,2020-07-06,Wyoming,56,1675,20
6944,2020-07-07,Alabama,1,45785,1033
6945,2020-07-07,Alaska,2,1423,15
6946,2020-07-07,Arizona,4,105159,1933
6947,2020-07-07,Arkansas,5,24512,301
6948,2020-07-07,California,6,287766,6563
6949,2020-07-07,Colorado,8,34717,1709
6950,2020-07-07,Connecticut,9,47033,4338
6951,2020-07-07,Delaware,10,12414,514
6952,2020-07-07,District of Columbia,11,10569,561
6953,2020-07-07,Florida,12,213786,3840
6954,2020-07-07,Georgia,13,93707,2850
6955,2020-07-07,Guam,66,1272,6
6956,2020-07-07,Hawaii,15,1053,19
6957,2020-07-07,Idaho,16,8582,94
6958,2020-07-07,Illinois,17,150110,7281
6959,2020-07-07,Indiana,18,49859,2717
6960,2020-07-07,Iowa,19,32153,732
6961,2020-07-07,Kansas,20,17157,290
6962,2020-07-07,Kentucky,21,17820,630
6963,2020-07-07,Louisiana,22,68371,3319
6964,2020-07-07,Maine,23,3440,110
6965,2020-07-07,Maryland,24,70986,3266
6966,2020-07-07,Massachusetts,25,110338,8213
6967,2020-07-07,Michigan,26,74011,6256
6968,2020-07-07,Minnesota,27,39170,1514
6969,2020-07-07,Mississippi,28,32214,1158
6970,2020-07-07,Missouri,29,25566,1083
6971,2020-07-07,Montana,30,1327,23
6972,2020-07-07,Nebraska,31,20205,287
6973,2020-07-07,Nevada,32,23848,549
6974,2020-07-07,New Hampshire,33,5932,384
6975,2020-07-07,New Jersey,34,175734,15281
6976,2020-07-07,New Mexico,35,13727,519
6977,2020-07-07,New York,36,402928,31934
6978,2020-07-07,North Carolina,37,76188,1446
6979,2020-07-07,North Dakota,38,3903,89
6980,2020-07-07,Northern Mariana Islands,69,31,2
6981,2020-07-07,Ohio,39,58904,2970
6982,2020-07-07,Oklahoma,40,17220,404
6983,2020-07-07,Oregon,41,10654,224
6984,2020-07-07,Pennsylvania,42,95986,6835
6985,2020-07-07,Puerto Rico,72,8714,157
6986,2020-07-07,Rhode Island,44,17154,969
6987,2020-07-07,South Carolina,45,47352,846
6988,2020-07-07,South Dakota,46,7163,98
6989,2020-07-07,Tennessee,47,52643,657
6990,2020-07-07,Texas,48,219164,2816
6991,2020-07-07,Utah,49,26203,194
6992,2020-07-07,Vermont,50,1254,56
6993,2020-07-07,Virgin Islands,78,122,6
6994,2020-07-07,Virginia,51,66642,1880
6995,2020-07-07,Washington,53,39063,1385
6996,2020-07-07,West Virginia,54,3505,95
6997,2020-07-07,Wisconsin,55,35834,817
6998,2020-07-07,Wyoming,56,1711,21
6999,2020-07-08,Alabama,1,46962,1058
7000,2020-07-08,Alaska,2,1472,15
7001,2020-07-08,Arizona,4,108710,1973
7002,2020-07-08,Arkansas,5,25246,305
