,state,never,rarely,sometimes,frequently,always,mask_negative,mask_positive,votesdem,percd,votesrep,percr,electoraldem,electoralrep,pop,blue,red,deaths,cases,percent change deaths,percent change cases
38,PA,0.035835820895522376,0.035388059701492544,0.08625373134328354,0.1706567164179104,0.6719701492537313,0.07122388059701491,0.8426268656716418,2926441,47.46,2970733,48.18,0,20,12820900,0,1,1060,47727,1.0796915167095116,-0.9426729024943311
39,RI,0.0122,0.0096,0.04,0.136,0.8019999999999999,0.021800000000000003,0.938,252525,54.41,180543,38.9,4,0,1056160,1,0,94,5149,1.2132701421800949,-0.9482204235502827
40,SC,0.09713043478260867,0.07054347826086957,0.10928260869565218,0.1902608695652174,0.5328260869565218,0.16767391304347828,0.7230869565217392,855373,40.67,1155389,54.94,0,9,5210100,0,1,1991,81927,0.1581145584725537,-0.9154837585996691
41,SD,0.14829230769230775,0.10552307692307694,0.16710769230769226,0.21813846153846148,0.3610307692307692,0.2538153846153845,0.5791692307692308,117458,31.74,227721,61.53,0,3,903027,0,1,74,6923,1.8431372549019607,-0.9422847286718854
42,TN,0.11004210526315787,0.1013578947368421,0.15195789473684207,0.2095263157894737,0.4271894736842104,0.2114000000000001,0.6367157894736842,870695,34.72,1522925,60.72,0,11,6897580,0,1,1151,108914,0.09832635983263599,-0.937696552542574
43,TX,0.051889763779527566,0.05967716535433067,0.0971929133858268,0.1886653543307088,0.6025590551181103,0.11156692913385828,0.7912244094488186,3877868,43.24,4685047,52.23,0,36,29472300,0,1,10486,470708,2.5992167101827675,-0.927292386402595
44,UT,0.09306896551724138,0.09696551724137932,0.11827586206896548,0.27186206896551723,0.4197586206896553,0.19003448275862067,0.6916206896551723,310676,27.46,515231,45.54,0,6,3282120,0,1,237,29641,0.7956989247311828,-0.9755347201875183
45,VA,0.0418721804511278,0.04642857142857144,0.09602255639097736,0.1778421052631579,0.6378270676691729,0.08830075187969921,0.8156691729323307,1981473,49.73,1769443,44.41,13,0,8626210,1,0,827,58490,1.9119601328903655,-0.9604824165915239
46,VT,0.04535714285714286,0.08778571428571427,0.06928571428571427,0.13764285714285715,0.66,0.13314285714285715,0.7976428571428571,178573,56.68,95369,30.27,3,0,628061,1,0,2,425,4.164416203335981,-0.9256174710855365
47,WA,0.03789743589743589,0.03887179487179487,0.07066666666666667,0.18241025641025632,0.6698717948717948,0.07676923076923077,0.8522820512820514,1742718,52.54,1221747,36.83,8,0,7797100,1,0,678,42803,1.369942196531792,-0.9820678796361092
48,WI,0.08683333333333329,0.10204166666666667,0.1453611111111111,0.2323194444444445,0.4335000000000002,0.18887500000000004,0.6658194444444444,1382536,46.45,1405284,47.22,0,10,5851750,0,1,347,49381,0.03571428571428571,-0.9520661157024793
49,WV,0.0860727272727273,0.0770727272727273,0.13605454545454546,0.21843636363636365,0.4824181818181817,0.16314545454545454,0.7008545454545454,188794,26.43,489371,68.5,0,5,1778070,0,1,129,7528,1.5,-0.8369565217391305
50,WY,0.1516086956521739,0.157,0.123,0.23199999999999998,0.3364347826086955,0.3086086956521739,0.5684347826086956,55973,21.63,174419,67.4,0,3,567025,0,1,21,2352,0.46330532212885156,-0.9586217821782178
