,state,never,rarely,sometimes,frequently,always,mask_negative,mask_positive,votesdem,percd,votesrep,percr,electoraldem,electoralrep,pop,blue,red,date,fips,cases,deaths,percent pop affected
2886,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-08-24,19,56941,1047,0.018236080318254005
2887,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-08-25,19,57606,1059,0.018448983442615217
2888,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-08-26,19,58864,1077,0.018850260232400898
2889,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-08-27,19,61484,1091,0.01967860119188012
2890,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-08-28,19,62828,1108,0.020106608802301994
2891,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-08-29,19,63836,1110,0.02042423384750853
2892,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-08-30,19,64599,1113,0.02066512571347705
2893,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-08-31,19,65252,1120,0.020872682673711025
2894,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-09-01,19,65846,1125,0.021061056339135492
2895,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-09-02,19,66463,1134,0.02125792097111499
2896,IA,0.10432323232323233,0.11732323232323234,0.16742424242424245,0.2147070707070707,0.39620202020202017,0.22164646464646465,0.6109090909090911,653669,41.74,800983,51.15,0,6,3179850,0,1,2020-09-03,19,67693,1137,0.021645675110461185
